region;code
Белгородская область;BEL
Брянская область;BRY
Владимирская область;VLA
Воронежская область;VOR
Ивановская область;IVA
Калужская область;KAL
Костромская область;KOS
Курская область;KUR
Липецкая область;LIP
Московская область;MOK
Орловская область;ORE
Рязанская область;RYA
Смоленская область;SMO
Тамбовская область;TAM
Тверская область;TVE
Тульская область;TUL
Ярославская область;YAR
Москва;MOS
Республика Карелия;KAR
Республика Коми;KOM
Архангельская область;ARK
Ненецкий автономный округ;NAO
Вологодская область;VOL
Калинингpадская область;KAN
Ленинградская область;LEN
Мурманская область;MUR
Новгородская область;NOV
Псковская область;PSK
Санкт-Петербург;ST.P
Республика Адыгея;ADY
Республика Калмыкия;KAM
Краснодарский край;KRA
Астраханская область;AST
Волгоградская область;VOG
Ростовская область;ROS
Республика Дагестан;DAG
Республика Ингушетия;ING
Кабардино-Балкарская Республика;K.B.R
Карачаево-Черкесская Республика;K.C.R
Республика Северная Осетия - Алания;CEO
Чеченская Республика;CHE
Ставропольский край;STA
Республика Башкортостан;BAS
Республика Марий Эл;MEL
Республика Мордовия;MOR
Республика Татарстан;TAT
Удмуртская Республика;UDM
Чувашская Республика;CHU
Пермский край;PER
Кировская область;KIR
Нижегородская область;NIZ
Оренбургская область;ORN
Пензенская область;PEN
Самарская область;SAM
Саратовская область;SAR
Ульяновская область;ULY
Курганская область;KUR
Свердловская область;SVE
Тюменская область;TYU
Ханты-Мансийский автономный округ - Югра;KHA
Ямало-Ненецкий автономный округ;YAM
Челябинская область;CHL
Республика Алтай;ALT
Республика Бурятия;BUR
Республика Тыва;TYV
Республика Хакасия;KHK
Алтайский край;ATA
Забайкальский край;BAI
Красноярский край;KRS
Иркутская область;IRK
Кемеровская область;KEM
Новосибирская область;NOS
Омская область;OMS
Томская область;TOM
Республика Саха (Якутия);SAK
Камчатский край;KAC
Приморский край;PRI
Хабаровский край;KHB
Амурская область;AMU
Магаданская область;MAG
Сахалинская область;SAK
Еврейская автономная область;JEW
Чукотский автономный округ;CAO
